wohnflaeche_qm,qualitaet,baujahr,preis_usd
83.6,6,1941,180250
213.7,7,1920,464000
144.0,8,1993,320000
118.0,8,2014,625504
208.1,9,1983,592500
252.1,9,2005,465000
159.8,8,1978,477000
79.0,6,1923,280000
306.6,9,1957,1505000
209.0,8,2000,445838
362.3,8,1947,1072000
122.6,8,1947,467000
256.4,10,1999,686000
162.6,7,1961,279950
216.5,8,1987,527000
206.2,8,1966,325000
187.7,7,1994,328000
116.1,7,1942,390000
140.3,8,2005,479950
159.8,7,1978,264950
132.9,7,1961,235000
137.5,7,2004,516500
134.7,7,1915,655000
211.8,7,1960,500000
273.1,8,1978,315000
92.9,6,1961,213000
230.4,7,1947,475000
349.3,10,1983,1025000
206.2,7,1976,416000
183.0,7,1904,410000
355.8,10,1993,800000
409.7,9,1965,472000
132.9,7,1968,225000
77.1,6,1940,210000
132.9,7,1925,455000
120.8,6,1954,225000
95.7,7,1918,480000
254.6,9,1990,363000
339.1,9,2000,2400000
66.9,6,1954,181000
186.7,7,1976,250000
144.9,6,1918,481000
168.2,7,1978,260000
312.2,9,2001,455000
140.3,8,1991,415000
130.1,7,1953,349500
160.7,7,1987,245000
131.9,7,1928,592500
219.3,7,1955,385000
146.8,7,1974,315000
114.3,7,1979,255000
228.5,8,2006,693000
154.2,8,1911,780000
118.0,7,1960,237000
195.1,10,1979,525000
71.5,5,1930,425000
70.6,5,1936,369900
157.9,7,1988,290000
104.1,7,1954,285000
99.4,7,1937,415000
192.3,8,1979,272500
469.2,11,1982,2900000
493.3,11,1989,1365000
96.6,7,1939,436000
157.9,7,1967,210000
120.8,7,1961,236000
100.3,7,1954,331000
246.5,8,2006,365000
212.7,8,1960,450000
354.9,9,2014,770000
205.3,8,1997,455000
222.0,6,1908,405000
241.5,7,1969,304900
79.9,6,1931,170000
355.8,9,1905,2050000
325.2,9,2005,780000
224.8,8,1988,330000
252.7,9,1992,370000
232.3,7,1979,467000
155.1,7,1980,405000
269.4,8,1985,675000
152.4,7,1954,500000
175.6,7,1968,389999
274.1,8,1975,630000
200.7,9,1992,360000
304.7,8,1986,580000
183.0,8,1929,550000
312.2,10,1994,879000
122.6,7,1993,265000
246.2,8,1990,446500
188.6,7,1963,404000
147.7,7,1957,267500
422.7,10,2002,3075000
226.7,8,1998,335000
180.2,7,1948,576000
189.5,8,2006,208633
204.4,7,1964,315000
178.4,8,1913,725000
167.2,8,1965,550000
202.5,8,1984,610750
93.8,6,1908,550700
308.4,8,1960,665000
220.2,8,1928,834000
154.2,6,1915,201000
339.1,10,1921,2384000
398.6,11,1997,1384000
398.6,11,1997,1400000
181.2,8,1979,305000
240.6,8,1948,487000
179.3,8,1988,390000
136.6,7,1916,548000
74.3,6,1943,268750
292.6,9,2013,819900
188.6,8,1984,520000
134.7,7,2003,230000
140.3,7,1969,240000
115.2,6,1922,232000
115.2,6,1922,240500
281.5,9,1987,274975
190.5,9,1922,740000
92.9,7,1952,186375
220.2,9,1977,790000
260.1,9,1951,880000
208.1,7,1955,279000
168.2,8,1991,295000
99.4,7,1924,640000
231.3,9,1968,940000
182.1,7,2003,260000
272.2,9,2004,559900
140.3,7,1911,791500
131.9,7,1954,265000
161.7,7,1954,245000
237.8,7,1962,485000
282.4,9,2010,684000
232.3,8,1957,425000
118.5,6,1991,309600
239.7,8,2002,552250
92.9,6,1943,165000
92.9,6,1943,239900
99.4,6,1930,320000
129.1,7,1987,206600
232.3,7,1973,387000
52.0,4,1967,299000
210.9,9,1965,855000
176.5,7,1954,315000
92.0,7,1907,437500
144.0,7,1969,252000
204.4,7,1955,375000
177.4,7,2005,300000
162.6,7,1954,420000
123.6,7,1928,900000
226.7,9,2000,679900
152.4,7,1992,463000
256.4,9,1978,380000
169.1,7,1994,329500
196.0,8,2013,604950
282.4,8,1966,795000
170.9,7,1994,465000
277.8,9,2002,673000
327.0,10,1991,810000
226.7,8,1989,785000
194.2,7,1986,338000
132.9,7,1993,280000
202.5,7,1954,315000
202.5,7,1954,530000
320.5,9,2004,380000
134.7,7,1994,297000
300.1,10,2004,730000
152.4,7,1940,450000
147.7,7,1997,275000
187.7,7,1960,595000
120.8,7,1904,435000
128.2,6,1954,270000
375.3,10,1986,950000
197.9,7,2001,389000
236.9,8,1968,560000
445.9,11,1998,1350000
233.2,8,1969,799000
131.0,7,1983,365500
153.3,7,1979,252350
197.0,8,1993,403950
189.5,7,1954,385000
144.0,7,1957,345000
183.9,9,1979,490000
148.6,8,2005,330000
306.6,8,1953,927000
356.7,10,1983,1118000
113.3,7,1950,330000
252.7,7,1958,530000
180.2,8,1962,365000
200.7,7,1909,378750
142.1,7,1968,269900
158.9,8,2008,557000
346.5,7,1974,360000
87.3,7,1937,352000
162.6,8,1994,437000
169.1,7,1994,322500
140.3,9,2001,650000
119.8,8,2001,450000
145.9,7,1998,278500
179.3,8,1995,364950
263.8,10,1986,840000
144.0,7,1991,268000
77.4,5,2006,517534
277.8,8,1978,632925
185.8,9,1995,577500
222.0,7,1920,339000
270.3,7,1967,570000
193.7,7,1964,563500
204.4,7,1962,423000
172.8,8,2012,355000
563.9,12,1999,1550000
88.3,7,1941,482000
148.6,7,1955,625000
209.0,8,1988,538000
211.8,8,1985,380000
87.3,7,1909,375000
142.1,7,1996,245000
203.5,7,1947,310000
218.3,8,1976,1300000
133.8,7,1971,397000
204.4,8,2005,365000
212.7,9,1990,328500
375.3,11,1987,988000
242.5,8,1922,1000000
138.4,7,2005,237000
227.6,8,2003,525000
158.9,9,1976,749000
452.4,10,1983,722500
290.8,10,1991,843000
118.0,8,2000,438000
197.0,8,1977,578000
155.1,7,1954,227950
192.3,7,1974,196000
131.9,8,1953,641000
116.1,6,1980,350000
87.3,7,1960,205000
178.4,7,1968,400000
329.3,10,2005,1030000
117.1,7,1972,505000
217.4,7,1975,475000
240.6,8,1977,520000
368.8,10,1977,1450000
113.3,7,1965,333500
130.1,6,1976,232000
219.3,8,1983,691100
173.7,8,1960,811000
262.9,9,2001,551000
210.0,8,1994,496500
183.0,9,1980,705000
291.7,9,1966,578000
115.2,7,1986,255000
320.5,10,2007,1050000
238.8,8,1989,348000
140.3,7,1985,230000
222.0,9,1988,359500
91.0,6,1953,330000
39.9,4,1912,80000
137.5,7,1954,465000
171.9,8,1997,325000
210.9,7,1947,340500
168.2,8,1993,342500
149.6,6,1930,290900
356.7,10,2000,868700
381.8,9,1928,1199000
389.3,11,2000,1150000
314.9,9,2011,859900
175.6,7,2003,520000
149.6,9,2005,460000
97.5,7,1949,438924
58.5,5,1918,315000
270.3,8,1975,590000
157.9,7,1955,378500
181.2,9,1990,328500
277.8,8,1973,849950
125.4,7,1950,525000
451.5,9,1993,1385000
200.7,8,1978,295000
451.5,11,1998,1067000
82.7,6,1917,207950
261.1,9,2002,699900
315.9,8,1977,1280000
146.8,7,1963,452000
156.1,7,1987,370000
120.8,7,1968,232000
262.0,7,1960,669950
140.3,7,1972,397500
114.3,8,2004,490000
196.0,9,1925,725000
286.1,7,1958,299000
138.4,7,1900,625000
197.0,7,2000,437500
295.4,9,2003,650000
138.4,7,1929,475000
179.3,8,1966,342000
257.3,10,1999,1197350
155.1,7,1963,280000
123.6,7,1993,240000
112.4,7,1924,529000
110.6,7,1941,442000
143.1,7,1946,615000
374.4,10,2006,1485000
225.8,8,1981,585000
241.5,8,2005,480000
409.7,9,1990,1095000
123.6,7,1949,290000
176.5,7,1951,615000
102.2,7,1950,300000
183.9,6,1932,308000
223.0,9,2001,750000
442.2,9,1916,2250000
295.4,10,2005,890000
110.6,6,1958,288000
58.5,6,1943,190000
235.0,8,2005,515000
157.0,5,1930,235000
87.3,6,1951,275000
115.2,7,1952,727500
282.4,7,2003,650000
562.1,11,2001,1600000
147.7,6,1944,365000
232.3,9,1984,662000
165.4,7,1978,270500
126.3,7,1978,200000
440.4,10,1987,970000
93.8,7,1962,160000
96.6,6,1971,204000
149.6,7,1985,358000
145.9,7,1979,452000
140.3,7,1900,595000
126.3,7,1994,249000
183.0,8,1999,346900
502.0,12,1976,2125000
144.9,7,2003,280000
215.5,8,1973,318888
197.0,8,1967,530000
197.0,8,1983,375000
311.2,11,1988,910000
221.1,10,1991,782000
99.4,9,2008,259950
213.7,7,1979,315000
122.6,6,1943,215000
202.5,7,1946,705000
406.9,10,1952,1450000
166.3,7,1949,451000
69.7,6,1943,261000
120.8,7,1956,396000
277.8,9,1999,725000
431.1,11,1965,1950000
130.1,7,1959,238000
255.5,8,1973,750000
190.5,7,1998,331500
207.2,7,1978,460000
217.4,8,1982,404950
266.6,9,2014,880000
382.8,10,1997,863000
193.2,7,1960,638700
170.9,7,2008,435000
109.6,6,1959,260000
200.7,7,1927,671500
109.6,8,1907,610000
107.8,6,1937,405000
170.0,7,2003,338900
297.3,10,2004,720000
237.8,7,1927,442000
236.9,8,1902,650000
123.6,7,1981,263500
113.3,7,1963,300000
167.7,7,2009,266000
562.1,9,2009,930000
215.5,8,2004,530000
128.6,6,1965,180000
252.7,9,2005,619000
169.1,7,1962,264000
197.9,7,1941,730000
191.4,7,1975,439000
131.9,7,1981,268500
140.3,7,1985,330000
200.7,8,1903,640000
295.4,11,1978,900000
196.0,8,1985,370000
191.4,8,1931,685000
170.0,7,1981,505000
169.1,7,1966,265000
149.6,8,2006,290000
165.4,7,2006,296000
170.9,7,1996,360000
135.6,7,1997,240500
130.1,8,2007,372500
313.1,9,2004,595000
333.5,9,1997,515000
297.3,9,1962,1220000
155.1,8,2004,507000
224.8,9,1984,399950
132.9,7,1994,185000
133.8,7,1980,460000
134.7,7,1985,435500
329.8,8,1966,469000
118.0,8,2000,531000
87.3,7,1949,443500
155.1,7,1990,223000
288.0,8,1996,590000
102.2,7,1997,340000
173.7,8,1925,650000
179.3,8,1990,533600
236.0,9,2005,695000
118.9,7,1988,242000
169.1,7,1967,425000
138.4,7,1981,525000
174.7,8,1988,485000
116.1,7,1971,175000
133.8,8,1983,210000
178.4,7,1989,260000
191.4,7,1976,577000
112.4,7,1958,200000
163.5,7,1927,605000
92.0,6,1947,325000
89.2,6,1944,289500
154.2,9,2014,559950
176.5,8,1941,1042500
118.0,7,1970,543500
301.9,9,1983,480000
89.2,6,1982,218000
123.6,7,1914,565000
193.2,7,1968,426700
249.9,8,1957,650000
82.7,7,1910,542000
99.4,7,1977,415000
111.5,6,1953,214000
126.3,7,1949,245000
190.5,8,1993,314500
278.7,9,1924,1120000
120.8,7,1963,378000
209.0,7,1982,305000
347.5,8,1978,595000
154.2,9,2015,729500
219.3,7,2003,430000
163.5,7,1987,240000
156.1,7,1916,545000
122.6,7,1918,530000
80.8,6,1939,157000
117.1,6,1925,425000
92.9,6,1944,220000
187.7,8,1976,521000
178.4,7,1952,325000
199.7,7,1911,597500
136.6,7,1999,337000
295.4,10,1991,1000000
365.1,8,1957,3070000
92.0,6,1943,495000
257.3,8,2001,748000
116.1,7,1953,888000
105.9,7,1986,269900
209.0,7,1967,496500
152.4,7,1969,475000
116.6,7,2004,312000
119.8,7,1976,323000
120.8,7,1986,331000
113.3,8,2007,306000
244.3,8,2002,655000
181.2,8,1959,290000
293.6,9,1965,1250000
144.0,7,1949,460000
157.9,7,1940,435000
233.2,8,1978,664000
167.2,8,1921,865000
167.2,8,1968,385000
173.7,7,1975,497000
93.8,7,1925,280000
104.1,6,1924,188000
194.2,8,1969,478500
406.0,11,2001,1145000
133.8,7,1981,222000
239.7,8,1984,799000
296.4,10,2006,609900
221.1,7,1995,413000
131.9,7,1930,400000
277.8,9,2014,802541
249.0,8,1990,320000
253.6,7,2006,507000
113.3,6,1946,387500
139.4,7,1967,396000
170.0,8,1958,373000
424.6,10,1965,1484900
229.5,8,1983,359900
74.3,6,1927,410000
269.4,9,1992,690000
131.0,7,1985,245000
262.9,8,1979,700000
156.1,7,1977,268000
163.5,7,1979,225000
208.1,8,1976,980000
128.2,5,1905,795000
76.2,6,1953,195000
202.5,6,1950,480000
130.1,7,1900,485000
81.8,5,1928,130000
98.5,6,1946,325000
142.1,7,1984,440000
230.4,8,1958,550000
138.4,6,1967,310000
340.0,9,1989,530000
217.4,8,1993,390000
134.7,7,1981,243000
205.3,9,1990,639000
105.0,7,1969,215000
144.0,7,1961,405000
158.9,7,1968,250000
93.8,7,1954,405500
247.1,7,1937,452000
247.1,7,1937,730000
120.8,7,1994,267000
155.1,7,2002,289950
89.2,7,1911,565000
433.9,12,1988,1578000
198.8,8,2007,636000
234.1,8,2004,350000
153.3,7,1978,320000
133.8,8,1978,210000
97.5,7,1950,245000
136.6,7,1983,328000
393.0,11,1989,985000
183.0,8,1976,501000
143.1,7,1992,315000
194.2,8,2012,403000
221.1,8,1934,550000
200.3,9,2012,347500
192.3,8,1986,365000
177.4,8,1951,588000
178.4,8,1977,605000
315.9,9,1937,1300000
130.1,7,1974,233000
205.3,8,1997,360000
108.7,6,1929,459000
195.1,9,1995,740000
107.8,7,1967,305000
139.4,6,1925,395000
273.1,8,2000,560000
186.7,7,1963,650000
201.6,7,2003,449950
132.9,7,1940,517500
140.3,7,1970,435000
106.8,6,1952,329999
199.7,8,1960,950000
127.3,7,1944,447000
221.1,8,2010,699800
127.3,7,1911,850000
148.6,7,1979,316500
348.4,9,1981,942500
367.0,10,1991,1310000
223.0,9,1964,856600
262.9,8,1918,405600
226.7,8,1996,565000
110.6,8,2008,400000
130.1,7,1997,330000
253.6,7,2005,374950
222.0,7,1983,405300
191.4,8,1984,560000
231.3,8,1961,824000
102.2,7,1984,260000
225.8,8,1965,760000
294.5,10,1995,405000
245.3,8,1987,429900
105.0,7,1961,341500
180.2,7,1957,465250
102.2,7,1912,450000
111.5,7,1955,390000
185.8,8,1963,420000
175.6,8,2002,269950
177.4,7,1910,493000
251.8,9,1998,370000
451.5,10,1905,2250000
116.1,7,1967,305000
147.7,6,1938,400000
115.2,8,2009,320000
185.8,7,1911,715000
335.4,8,1966,650000
179.3,8,1966,218000
118.9,7,1964,500000
194.2,7,1984,460000
180.2,7,1969,232500
167.2,7,1990,408200
160.7,7,1980,522000
261.1,9,1982,675000
329.8,11,1999,1355000
123.6,6,1952,249950
69.7,6,1950,210000
163.5,7,1947,429950
297.3,9,1993,737500
161.7,8,1958,710000
195.1,8,1999,470000
396.7,12,1993,1100000
124.5,7,1913,650000
296.4,9,1967,1216000
151.4,8,1987,422120
277.8,9,2007,625000
144.0,6,1954,385200
157.0,8,1989,500000
182.1,8,1989,308000
222.0,8,1977,565000
241.5,7,2004,581000
181.2,8,1999,361000
116.1,7,1964,345000
109.6,8,2008,419000
156.1,7,2004,347000
206.2,9,1989,625000
454.3,11,1999,2400000
247.1,8,2014,379000
106.8,7,1988,310000
105.0,6,1941,250000
256.4,9,2005,682000
132.9,7,1992,246500
138.4,5,1932,325000
188.6,8,2004,310950
279.6,9,1931,1100000
168.2,7,1954,287500
168.2,7,1954,431000
90.1,6,1968,226000
186.7,7,1926,825000
120.8,6,1947,175000
117.1,7,1959,465750
242.5,8,1983,659000
177.4,8,1941,595000
165.4,8,1987,350000
176.5,8,1975,270000
227.6,7,1957,662500
128.2,5,1939,249900
178.4,7,1977,324500
125.4,8,2004,430000
125.4,8,2004,419950
233.2,8,1962,285000
229.5,8,2002,332000
154.2,7,1956,282000
124.5,7,1987,320000
150.5,7,1911,428750
213.7,8,1977,330000
185.8,8,2008,456500
152.4,8,1972,352000
142.1,7,1912,664000
371.6,9,1987,628000
149.6,7,1977,512000
192.3,7,1969,254000
176.5,8,1994,535800
97.5,7,1960,287653
141.2,8,2006,438000
222.0,7,1949,450000
223.0,8,1998,327000
166.3,7,2005,370500
159.8,7,1993,265000
276.9,8,1979,450000
141.2,8,1988,425000
106.8,7,1977,166600
35.3,5,1963,245000
84.5,7,1951,565000
153.3,8,1976,539900
230.4,10,2010,910000
190.5,8,1990,280000
131.9,7,1989,275000
321.4,7,2001,467000
139.4,8,1996,457500
122.6,7,1908,381156
202.5,8,1977,289999
170.0,7,1919,642450
150.5,7,1962,469950
271.3,8,1975,795000
306.6,10,1984,785000
284.3,10,1983,860000
284.7,7,1990,1095000
142.1,7,1959,147500
177.4,7,1978,390000
94.8,7,1954,229000
106.8,6,1932,185000
117.1,7,1941,414900
178.4,6,1914,200000
167.2,8,1969,225000
189.5,7,1924,720000
204.4,8,1908,930000
297.3,7,1952,1270000
223.0,7,1928,700000
105.9,7,2005,466000
123.6,7,1976,374000
180.2,8,1994,480000
278.7,9,1995,740000
169.1,8,1923,1010000
270.3,8,2002,395000
101.3,6,1954,340000
114.3,7,2003,209000
158.9,7,1962,431650
293.6,9,1971,980000
249.0,9,1993,660000
203.5,8,1977,730000
117.1,7,1988,291500
275.9,9,1997,905000
238.8,10,1993,800000
354.0,9,2013,839900
93.8,8,2007,200000
137.5,7,1979,300000
116.1,7,1942,530000
153.7,7,1995,314950
131.0,7,1960,255000
200.7,7,1950,550000
130.1,6,1917,435000
131.9,7,1966,234000
232.3,8,1975,615000
131.0,7,1985,205000
195.1,7,1955,384000
162.6,8,1994,324000
192.3,7,1946,645000
145.9,8,2007,570000
178.4,8,1999,324000
92.9,6,1943,270000
197.0,7,1962,290000
133.8,7,1965,250000
154.2,7,1990,342000
124.5,7,1958,255000
221.1,9,1972,800000
144.9,7,1926,451000
258.3,7,1967,990000
172.8,7,1983,288400
222.0,8,1920,420000
127.3,8,2009,359000
238.8,7,1988,390000
122.6,7,2005,300000
234.1,7,1981,545000
116.1,6,1972,288349
144.9,7,1985,299900
216.5,7,1925,891000
340.0,9,1947,1200000
259.2,8,2004,378000
98.5,6,1951,299995
187.7,7,1994,253000
146.8,7,1979,350000
187.7,6,1900,565000
90.1,6,1908,315000
138.4,7,1915,570000
407.8,9,2005,971000
255.5,9,1910,915000
199.7,7,1950,419000
168.2,7,1977,260000
207.2,9,1990,1321500
225.8,7,1977,369950
341.9,10,1994,1029900
131.0,6,1929,435000
123.6,8,1958,601000
138.4,7,1963,460500
187.7,8,2000,720000
290.8,10,1996,851000
248.1,7,1916,550000
183.9,7,1920,700000
195.1,7,1963,323000
125.4,6,1944,345500
198.8,7,1959,378000
205.1,8,1917,650000
93.8,7,1982,385000
90.1,7,1910,425000
141.2,6,1920,210000
254.6,9,1993,630000
145.9,7,1953,335000
122.6,7,1966,196500
236.9,8,1986,582800
144.9,7,1983,440000
219.3,8,1974,752500
123.6,7,1909,532500
99.4,7,1950,265000
140.3,6,1961,397500
158.9,8,1999,524250
259.2,10,1996,765000
243.4,9,2001,648000
275.9,8,1969,469500
97.5,7,1975,237500
118.9,7,1956,216000
95.7,7,1963,427200
176.5,8,1977,280000
285.2,9,1968,718000
163.5,8,2010,420000
86.4,7,1952,379000
81.8,6,1942,326100
126.3,7,2003,535000
197.9,7,1992,283000
137.5,6,1940,260000
139.4,7,1951,399000
155.1,8,1987,484950
191.4,8,1960,640000
200.7,8,1952,585000
258.3,8,1955,645000
138.4,7,1988,253000
68.7,6,1953,178500
172.8,7,1991,291000
147.7,5,1920,199950
79.0,7,1922,553500
95.7,8,1981,189950
171.9,8,1988,289000
170.0,8,1908,700000
144.9,7,1967,270000
160.7,7,1977,258000
179.3,8,2005,530000
132.1,7,2012,245000
128.2,7,1917,563000
225.8,8,2001,515000
242.5,9,1987,325000
185.8,8,1996,540000
85.5,6,1949,280300
162.6,7,1926,460000
187.7,7,1981,475000
228.5,9,1957,900000
165.4,8,1964,538200
100.3,7,1922,429000
116.1,7,1980,164808
173.7,7,1977,520000
157.9,8,1977,475000
137.5,6,1942,283000
179.3,8,2000,321500
290.8,10,1993,840000
127.3,7,1992,287000
89.2,7,1962,375000
117.1,7,1969,349500
137.5,7,1960,446450
179.3,7,1992,315000
80.8,6,1906,271310
120.8,7,1953,315000
138.4,7,1990,245000
128.2,8,1947,543115
110.6,7,1945,900000
394.8,10,2008,2450000
178.4,8,2003,554000
193.2,6,1950,249900
299.1,9,1981,768000
341.9,10,1967,980000
192.3,7,1962,395000
137.5,7,1995,415000
185.8,8,2003,380000
144.9,8,1999,566000
148.6,7,1949,218500
180.2,7,1976,550000
143.1,7,1920,512031
76.2,6,1950,197500
165.4,7,1977,470000
144.9,7,1981,590000
205.3,8,1977,465000
189.5,7,1968,499000
178.4,8,1972,515000
179.3,9,1936,716500
157.9,6,1944,410000
320.5,8,1994,850000
319.6,10,1983,1050000
221.1,10,1992,648000
223.0,7,1929,620000
526.8,11,2008,935000
105.9,7,1963,379000
155.1,7,1952,699000
177.4,8,1960,528000
144.9,8,1974,425000
139.4,7,1963,249500
415.7,9,2014,1035480
263.8,9,1961,790000
94.8,7,1969,399950
131.0,7,1953,275000
141.2,8,1912,550000
67.8,4,1926,140000
110.6,7,1954,250000
131.0,7,1988,318000
115.2,7,1962,505000
232.3,8,1966,470500
97.5,7,1954,360000
249.0,9,1962,1242500
221.1,9,1964,986000
98.5,7,1906,515000
213.7,8,1939,320000
186.7,7,1951,310000
101.3,7,1942,356700
215.5,7,1956,775000
96.6,6,1951,325000
168.2,7,1962,208000
106.8,6,1908,825000
219.3,9,1990,515000
183.0,8,1929,490000
249.9,8,1954,675000
193.2,7,1962,360000
193.2,7,1962,550000
127.3,7,1962,225000
316.8,8,1967,500000
171.9,8,1969,385000
279.6,10,1994,837700
142.1,7,2003,448000
249.9,7,1952,730000
261.1,8,1954,575000
168.2,7,1976,430000
144.9,7,2002,435000
93.8,6,1973,241000
92.9,6,1924,453500
92.0,7,2001,285000
66.9,5,1942,151000
563.9,11,2004,1570000
210.9,7,1905,631000
128.2,7,2011,285000
117.1,6,1959,195000
270.3,9,1987,817500
168.2,7,1960,550000
293.6,9,1995,1127000
177.4,9,2002,609850
114.3,6,1947,200000
275.0,9,2006,367000
204.4,8,1988,285167
118.0,7,1947,275000
236.0,9,1992,350900
281.5,8,1988,660000
141.2,7,1957,525000
144.9,7,1997,262000
90.1,7,1907,690000
331.7,9,2005,624000
125.4,6,1947,353000
344.7,8,2002,552500
132.9,7,1983,224500
87.3,6,1950,239000
399.5,10,2004,975000
370.7,11,2006,1200000
128.2,7,1910,505000
187.7,7,1963,302000
137.5,6,1944,170000
110.6,5,1910,195000
236.9,7,1959,272000
236.9,7,1959,369000
139.4,7,1953,332500
278.7,8,1963,515000
157.0,7,1967,269000
407.8,11,1994,1278000
144.9,7,1985,303000
273.1,8,1977,420000
105.0,7,1941,400000
94.8,6,1987,225000
121.7,6,2004,219000
238.8,9,1989,605000
187.7,8,1942,625000
156.1,5,1906,380000
164.4,7,1962,620000
296.4,10,1994,687500
133.8,6,1962,225500
106.8,7,1956,252500
172.8,8,1994,510000
225.8,8,2003,510000
180.2,7,1906,725000
62.2,3,1966,75000
81.8,7,1927,492000
179.3,7,1977,425000
289.9,8,1963,1955000
170.0,8,1994,298900
300.1,10,1987,699000
