wohnflaeche_qm,preis_usd
252.1,465000
159.8,477000
79.0,280000
306.6,1505000
209.0,445838
362.3,1072000
122.6,467000
256.4,686000
162.6,279950
216.5,527000
206.2,325000
187.7,328000
116.1,390000
140.3,479950
159.8,264950
132.9,235000
137.5,516500
134.7,655000
211.8,500000
273.1,315000
92.9,213000
230.4,475000
349.3,1025000
206.2,416000
183.0,410000
355.8,800000
409.7,472000
132.9,225000
77.1,210000
132.9,455000
120.8,225000
95.7,480000
254.6,363000
339.1,2400000
66.9,181000
186.7,250000
144.9,481000
168.2,260000
312.2,455000
140.3,415000
130.1,349500
160.7,245000
131.9,592500
219.3,385000
146.8,315000
114.3,255000
228.5,693000
154.2,780000
118.0,237000
195.1,525000
71.5,425000
70.6,369900
157.9,290000
104.1,285000
99.4,415000
192.3,272500
469.2,2900000
493.3,1365000
96.6,436000
157.9,210000
120.8,236000
100.3,331000
246.5,365000
212.7,450000
354.9,770000
205.3,455000
222.0,405000
241.5,304900
79.9,170000
355.8,2050000
325.2,780000
224.8,330000
252.7,370000
232.3,467000
155.1,405000
269.4,675000
152.4,500000
175.6,389999
274.1,630000
200.7,360000
304.7,580000
183.0,550000
312.2,879000
122.6,265000
246.2,446500
188.6,404000
147.7,267500
422.7,3075000
226.7,335000
180.2,576000
189.5,208633
204.4,315000
178.4,725000
167.2,550000
202.5,610750
93.8,550700
308.4,665000
220.2,834000
154.2,201000
339.1,2384000
398.6,1384000
398.6,1400000
181.2,305000
240.6,487000
179.3,390000
136.6,548000
74.3,268750
292.6,819900
188.6,520000
134.7,230000
140.3,240000
115.2,232000
115.2,240500
281.5,274975
190.5,740000
92.9,186375
220.2,790000
260.1,880000
208.1,279000
168.2,295000
99.4,640000
231.3,940000
182.1,260000
272.2,559900
140.3,791500
131.9,265000
161.7,245000
237.8,485000
282.4,684000
232.3,425000
118.5,309600
239.7,552250
92.9,165000
92.9,239900
99.4,320000
129.1,206600
232.3,387000
52.0,299000
210.9,855000
176.5,315000
92.0,437500
144.0,252000
204.4,375000
177.4,300000
162.6,420000
123.6,900000
226.7,679900
152.4,463000
256.4,380000
169.1,329500
196.0,604950
282.4,795000
170.9,465000
277.8,673000
327.0,810000
226.7,785000
194.2,338000
132.9,280000
202.5,315000
202.5,530000
320.5,380000
134.7,297000
300.1,730000
152.4,450000
147.7,275000
187.7,595000
120.8,435000
128.2,270000
375.3,950000
197.9,389000
236.9,560000
445.9,1350000
233.2,799000
131.0,365500
153.3,252350
197.0,403950
189.5,385000
144.0,345000
183.9,490000
148.6,330000
306.6,927000
356.7,1118000
113.3,330000
252.7,530000
180.2,365000
200.7,378750
142.1,269900
158.9,557000
346.5,360000
87.3,352000
162.6,437000
169.1,322500
140.3,650000
119.8,450000
145.9,278500
179.3,364950
263.8,840000
144.0,268000
77.4,517534
277.8,632925
185.8,577500
222.0,339000
270.3,570000
193.7,563500
204.4,423000
172.8,355000
563.9,1550000
88.3,482000
148.6,625000
209.0,538000
211.8,380000
87.3,375000
142.1,245000
203.5,310000
218.3,1300000
133.8,397000
204.4,365000
212.7,328500
375.3,988000
242.5,1000000
138.4,237000
227.6,525000
158.9,749000
452.4,722500
290.8,843000
118.0,438000
197.0,578000
155.1,227950
192.3,196000
131.9,641000
116.1,350000
87.3,205000
178.4,400000
329.3,1030000
117.1,505000
217.4,475000
240.6,520000
368.8,1450000
113.3,333500
130.1,232000
219.3,691100
173.7,811000
262.9,551000
210.0,496500
183.0,705000
291.7,578000
115.2,255000
320.5,1050000
238.8,348000
140.3,230000
222.0,359500
91.0,330000
39.9,80000
137.5,465000
171.9,325000
210.9,340500
168.2,342500
149.6,290900
356.7,868700
381.8,1199000
389.3,1150000
314.9,859900
175.6,520000
149.6,460000
97.5,438924
58.5,315000
270.3,590000
157.9,378500
181.2,328500
277.8,849950
125.4,525000
451.5,1385000
200.7,295000
451.5,1067000
82.7,207950
261.1,699900
315.9,1280000
146.8,452000
156.1,370000
120.8,232000
262.0,669950
140.3,397500
114.3,490000
196.0,725000
286.1,299000
138.4,625000
197.0,437500
295.4,650000
138.4,475000
179.3,342000
257.3,1197350
155.1,280000
123.6,240000
112.4,529000
110.6,442000
143.1,615000
374.4,1485000
225.8,585000
241.5,480000
409.7,1095000
123.6,290000
176.5,615000
102.2,300000
183.9,308000
223.0,750000
442.2,2250000
295.4,890000
110.6,288000
58.5,190000
235.0,515000
157.0,235000
87.3,275000
115.2,727500
282.4,650000
562.1,1600000
147.7,365000
232.3,662000
165.4,270500
126.3,200000
440.4,970000
93.8,160000
96.6,204000
149.6,358000
145.9,452000
140.3,595000
126.3,249000
183.0,346900
502.0,2125000
144.9,280000
215.5,318888
197.0,530000
197.0,375000
311.2,910000
221.1,782000
99.4,259950
213.7,315000
122.6,215000
202.5,705000
406.9,1450000
166.3,451000
69.7,261000
120.8,396000
277.8,725000
431.1,1950000
130.1,238000
255.5,750000
190.5,331500
207.2,460000
217.4,404950
266.6,880000
382.8,863000
193.2,638700
170.9,435000
109.6,260000
200.7,671500
109.6,610000
107.8,405000
170.0,338900
297.3,720000
237.8,442000
236.9,650000
123.6,263500
113.3,300000
167.7,266000
562.1,930000
215.5,530000
128.6,180000
252.7,619000
169.1,264000
197.9,730000
191.4,439000
131.9,268500
140.3,330000
200.7,640000
295.4,900000
196.0,370000
191.4,685000
170.0,505000
169.1,265000
149.6,290000
165.4,296000
170.9,360000
135.6,240500
130.1,372500
313.1,595000
333.5,515000
297.3,1220000
155.1,507000
224.8,399950
132.9,185000
133.8,460000
134.7,435500
329.8,469000
118.0,531000
87.3,443500
155.1,223000
288.0,590000
102.2,340000
173.7,650000
179.3,533600
236.0,695000
118.9,242000
169.1,425000
138.4,525000
174.7,485000
116.1,175000
133.8,210000
178.4,260000
191.4,577000
112.4,200000
163.5,605000
92.0,325000
89.2,289500
154.2,559950
176.5,1042500
118.0,543500
301.9,480000
89.2,218000
123.6,565000
193.2,426700
249.9,650000
82.7,542000
99.4,415000
111.5,214000
126.3,245000
190.5,314500
278.7,1120000
120.8,378000
209.0,305000
347.5,595000
154.2,729500
219.3,430000
163.5,240000
156.1,545000
122.6,530000
80.8,157000
117.1,425000
92.9,220000
187.7,521000
178.4,325000
199.7,597500
136.6,337000
295.4,1000000
365.1,3070000
92.0,495000
257.3,748000
116.1,888000
105.9,269900
209.0,496500
152.4,475000
116.6,312000
119.8,323000
120.8,331000
113.3,306000
244.3,655000
181.2,290000
293.6,1250000
144.0,460000
157.9,435000
233.2,664000
167.2,865000
167.2,385000
173.7,497000
93.8,280000
104.1,188000
194.2,478500
406.0,1145000
133.8,222000
239.7,799000
296.4,609900
221.1,413000
131.9,400000
277.8,802541
249.0,320000
253.6,507000
113.3,387500
139.4,396000
170.0,373000
424.6,1484900
229.5,359900
74.3,410000
269.4,690000
131.0,245000
262.9,700000
156.1,268000
163.5,225000
208.1,980000
128.2,795000
76.2,195000
202.5,480000
130.1,485000
81.8,130000
98.5,325000
142.1,440000
230.4,550000
138.4,310000
340.0,530000
217.4,390000
134.7,243000
205.3,639000
105.0,215000
144.0,405000
158.9,250000
93.8,405500
247.1,452000
247.1,730000
120.8,267000
155.1,289950
89.2,565000
433.9,1578000
198.8,636000
234.1,350000
153.3,320000
133.8,210000
97.5,245000
136.6,328000
393.0,985000
183.0,501000
143.1,315000
194.2,403000
221.1,550000
200.3,347500
192.3,365000
177.4,588000
178.4,605000
315.9,1300000
130.1,233000
205.3,360000
108.7,459000
195.1,740000
107.8,305000
139.4,395000
273.1,560000
186.7,650000
201.6,449950
132.9,517500
140.3,435000
106.8,329999
199.7,950000
127.3,447000
221.1,699800
127.3,850000
148.6,316500
348.4,942500
367.0,1310000
223.0,856600
262.9,405600
226.7,565000
110.6,400000
130.1,330000
253.6,374950
222.0,405300
191.4,560000
231.3,824000
102.2,260000
225.8,760000
294.5,405000
245.3,429900
105.0,341500
180.2,465250
102.2,450000
111.5,390000
185.8,420000
175.6,269950
177.4,493000
251.8,370000
451.5,2250000
116.1,305000
147.7,400000
115.2,320000
185.8,715000
335.4,650000
179.3,218000
118.9,500000
194.2,460000
180.2,232500
167.2,408200
160.7,522000
261.1,675000
329.8,1355000
123.6,249950
69.7,210000
163.5,429950
297.3,737500
161.7,710000
195.1,470000
396.7,1100000
124.5,650000
296.4,1216000
151.4,422120
277.8,625000
144.0,385200
157.0,500000
182.1,308000
222.0,565000
241.5,581000
181.2,361000
116.1,345000
109.6,419000
156.1,347000
206.2,625000
454.3,2400000
247.1,379000
106.8,310000
105.0,250000
256.4,682000
132.9,246500
138.4,325000
188.6,310950
279.6,1100000
168.2,287500
168.2,431000
90.1,226000
186.7,825000
120.8,175000
117.1,465750
242.5,659000
177.4,595000
165.4,350000
176.5,270000
227.6,662500
128.2,249900
178.4,324500
125.4,430000
125.4,419950
233.2,285000
229.5,332000
154.2,282000
124.5,320000
150.5,428750
213.7,330000
185.8,456500
152.4,352000
142.1,664000
371.6,628000
149.6,512000
192.3,254000
176.5,535800
97.5,287653
141.2,438000
222.0,450000
223.0,327000
166.3,370500
159.8,265000
276.9,450000
141.2,425000
106.8,166600
35.3,245000
84.5,565000
153.3,539900
230.4,910000
190.5,280000
131.9,275000
321.4,467000
139.4,457500
122.6,381156
202.5,289999
170.0,642450
150.5,469950
271.3,795000
306.6,785000
284.3,860000
284.7,1095000
142.1,147500
177.4,390000
94.8,229000
106.8,185000
117.1,414900
178.4,200000
167.2,225000
189.5,720000
204.4,930000
297.3,1270000
223.0,700000
105.9,466000
123.6,374000
180.2,480000
278.7,740000
169.1,1010000
270.3,395000
101.3,340000
114.3,209000
158.9,431650
293.6,980000
249.0,660000
203.5,730000
117.1,291500
275.9,905000
238.8,800000
354.0,839900
93.8,200000
137.5,300000
116.1,530000
153.7,314950
131.0,255000
200.7,550000
130.1,435000
131.9,234000
232.3,615000
131.0,205000
195.1,384000
162.6,324000
192.3,645000
145.9,570000
178.4,324000
92.9,270000
197.0,290000
133.8,250000
154.2,342000
124.5,255000
221.1,800000
144.9,451000
258.3,990000
172.8,288400
222.0,420000
127.3,359000
238.8,390000
122.6,300000
234.1,545000
116.1,288349
144.9,299900
216.5,891000
340.0,1200000
259.2,378000
98.5,299995
187.7,253000
146.8,350000
187.7,565000
90.1,315000
138.4,570000
407.8,971000
255.5,915000
199.7,419000
168.2,260000
207.2,1321500
225.8,369950
341.9,1029900
131.0,435000
123.6,601000
138.4,460500
187.7,720000
290.8,851000
248.1,550000
183.9,700000
195.1,323000
125.4,345500
198.8,378000
205.1,650000
93.8,385000
90.1,425000
141.2,210000
254.6,630000
145.9,335000
122.6,196500
236.9,582800
144.9,440000
219.3,752500
123.6,532500
99.4,265000
140.3,397500
158.9,524250
259.2,765000
243.4,648000
275.9,469500
97.5,237500
118.9,216000
95.7,427200
176.5,280000
285.2,718000
163.5,420000
86.4,379000
81.8,326100
126.3,535000
197.9,283000
137.5,260000
139.4,399000
155.1,484950
191.4,640000
200.7,585000
258.3,645000
138.4,253000
68.7,178500
172.8,291000
147.7,199950
79.0,553500
95.7,189950
171.9,289000
170.0,700000
144.9,270000
160.7,258000
179.3,530000
132.1,245000
128.2,563000
225.8,515000
242.5,325000
185.8,540000
85.5,280300
162.6,460000
187.7,475000
228.5,900000
165.4,538200
100.3,429000
116.1,164808
173.7,520000
157.9,475000
137.5,283000
179.3,321500
290.8,840000
127.3,287000
89.2,375000
117.1,349500
137.5,446450
179.3,315000
80.8,271310
120.8,315000
138.4,245000
128.2,543115
110.6,900000
394.8,2450000
178.4,554000
193.2,249900
299.1,768000
341.9,980000
192.3,395000
137.5,415000
185.8,380000
144.9,566000
148.6,218500
180.2,550000
143.1,512031
76.2,197500
165.4,470000
144.9,590000
205.3,465000
189.5,499000
178.4,515000
179.3,716500
157.9,410000
320.5,850000
319.6,1050000
221.1,648000
223.0,620000
526.8,935000
105.9,379000
155.1,699000
177.4,528000
144.9,425000
139.4,249500
415.7,1035480
263.8,790000
94.8,399950
131.0,275000
141.2,550000
67.8,140000
110.6,250000
131.0,318000
115.2,505000
232.3,470500
97.5,360000
249.0,1242500
221.1,986000
98.5,515000
213.7,320000
186.7,310000
101.3,356700
215.5,775000
96.6,325000
168.2,208000
106.8,825000
219.3,515000
183.0,490000
249.9,675000
193.2,360000
193.2,550000
127.3,225000
316.8,500000
171.9,385000
279.6,837700
142.1,448000
249.9,730000
261.1,575000
168.2,430000
144.9,435000
93.8,241000
92.9,453500
92.0,285000
66.9,151000
563.9,1570000
210.9,631000
128.2,285000
117.1,195000
270.3,817500
168.2,550000
293.6,1127000
177.4,609850
114.3,200000
275.0,367000
204.4,285167
118.0,275000
236.0,350900
281.5,660000
141.2,525000
144.9,262000
90.1,690000
331.7,624000
125.4,353000
344.7,552500
132.9,224500
87.3,239000
399.5,975000
370.7,1200000
128.2,505000
187.7,302000
137.5,170000
110.6,195000
236.9,272000
236.9,369000
139.4,332500
278.7,515000
157.0,269000
407.8,1278000
144.9,303000
273.1,420000
105.0,400000
94.8,225000
121.7,219000
238.8,605000
187.7,625000
156.1,380000
164.4,620000
296.4,687500
133.8,225500
106.8,252500
172.8,510000
225.8,510000
180.2,725000
62.2,75000
81.8,492000
179.3,425000
289.9,1955000
170.0,298900
300.1,699000
65.0,310000
93.8,350000
228.5,790000
207.2,305000
145.9,315000
222.0,267500
321.4,1750000
223.0,435000
273.1,482500
744.2,5110800
145.9,439995
141.2,460000
99.4,194000
40.9,290000
226.7,274700
247.1,900000
414.3,1150000
186.7,605000
134.7,359000
130.1,850000
139.4,505000
232.3,565000
118.9,585000
314.0,328000
270.3,749950
284.3,826000
123.6,535000
306.6,925000
301.9,875000
235.0,902000
170.0,423000
108.7,235000
272.2,545000
114.3,343000
150.5,334950
163.5,405000
133.8,220000
161.7,173000
118.0,655000
81.8,406000
237.8,632000
143.1,357000
106.8,361000
71.5,277000
428.3,630000
171.9,254000
170.9,472800
138.4,263000
138.4,510000
89.2,179950
146.8,525000
117.1,479000
180.2,651000
231.3,949000
234.1,392400
163.5,585000
389.3,460000
108.7,470000
148.6,245000
256.4,500000
194.2,455000
215.5,485500
381.8,1875000
71.5,100000
131.0,307000
340.0,475000
202.5,330000
103.1,130000
211.8,320000
262.0,735000
145.9,365000
111.5,234000
158.9,211000
278.7,680000
260.1,457000
152.4,349000
188.6,360000
235.0,350000
92.0,208000
73.4,250275
73.4,435000
167.2,270000
153.3,438000
183.9,659000
217.4,645000
259.2,685100
260.1,350000
170.9,375000
125.4,170000
281.5,880000
183.9,410500
342.8,780000
346.7,1225000
140.3,449000
185.8,546000
163.5,317000
118.0,276900
243.4,399000
244.3,495000
210.9,258000
223.9,600000
104.1,265000
281.5,321000
197.0,682000
159.8,295700
199.7,609000
406.9,995000
186.7,530000
292.6,614000
232.3,390000
157.0,467000
306.6,484000
115.2,340000
204.4,302495
150.5,532500
224.8,441500
249.0,470000
394.8,2300000
223.0,590000
213.7,320000
85.5,363000
218.3,747500
244.3,750000
201.6,831000
157.9,403000
229.5,445000
116.1,345000
288.9,2260000
142.1,371025
89.2,355000
115.2,270000
226.7,425000
215.5,364808
146.8,320000
275.3,325000
229.5,350000
127.3,170000
89.2,255000
105.0,550000
458.0,835000
106.8,420000
203.5,925000
138.4,389250
241.5,748000
142.1,284000
156.1,588000
156.1,372500
176.5,285000
145.9,360000
127.3,275000
125.4,428000
279.6,847000
93.8,316000
190.5,375000
155.1,533000
356.7,556000
206.2,225000
240.6,537250
109.6,255000
274.1,530000
686.6,5300000
199.7,595000
195.1,548000
153.3,234975
150.5,600000
162.6,432000
128.2,455000
140.3,279950
148.6,267500
170.9,620000
77.1,110000
168.2,625000
84.5,389000
197.0,1200000
233.2,788500
195.1,567000
249.9,515000
225.8,605000
227.8,430000
144.0,805000
193.2,567500
119.8,647500
171.9,495000
313.1,825000
253.6,435000
120.8,445950
282.4,960000
226.7,780000
159.8,274500
300.1,729953
111.5,464950
218.3,620000
288.0,735000
189.5,450000
185.8,450000
200.7,842500
183.0,360000
210.9,585000
171.9,461000
125.4,345000
304.7,1075000
210.9,643000
262.0,690000
111.5,282000
185.8,549000
214.6,815000
431.1,2200000
216.5,700000
366.0,933399
133.8,290000
182.1,372000
116.1,450000
184.0,303700
226.7,672000
106.8,334000
104.1,260000
167.2,749950
221.1,330000
271.3,830000
259.2,1131000
144.9,320000
144.0,260000
157.9,225000
59.5,279200
249.0,520000
172.8,505000
138.4,234000
229.5,503000
222.0,606000
114.3,433500
263.8,250000
197.0,719000
164.4,381000
231.8,267000
108.7,275000
254.6,651000
97.5,439000
105.0,325000
81.8,490000
223.2,519900
316.8,545000
494.2,1062500
176.5,542000
168.2,465000
111.5,408000
191.4,292000
116.1,253000
84.5,280000
237.8,658588
178.4,635000
208.1,439000
117.1,300000
126.3,345000
195.1,283500
196.0,425000
205.3,685000
219.3,750000
118.9,245000
254.6,585444
254.6,706000
244.3,445000
153.3,241000
164.4,1175000
139.4,530000
132.9,350000
296.4,1700000
118.9,389000
222.0,799000
375.3,1400000
85.5,340895
253.6,780000
122.6,350000
243.4,470000
295.4,914600
269.4,354000
176.5,470000
163.5,715000
70.6,265000
344.7,2537000
142.1,640000
184.9,290000
355.8,480000
189.5,535000
201.6,907000
150.5,459000
334.5,1355000
136.6,264950
163.5,352950
207.2,491500
350.2,1229000
111.5,369500
194.2,566000
139.4,290000
743.2,5350000
80.8,180000
93.8,215000
93.8,302000
172.8,352500
123.6,235867
163.5,500000
167.2,382000
157.0,515000
61.3,250000
223.0,672500
280.6,755000
139.4,707500
144.9,459000
101.3,140000
90.1,495000
296.4,757000
296.4,765000
175.6,359000
97.5,440000
129.1,400000
157.9,652000
97.5,260000
310.3,1328000
143.1,519500
158.9,650000
195.1,280000
160.7,515000
139.4,400000
221.1,652100
202.5,235000
170.9,701000
217.5,640000
157.0,455800
231.3,504750
226.7,483000
85.5,530000
95.7,250000
185.8,229950
391.1,884744
149.6,514000
177.4,532000
247.1,423000
76.2,420000
160.7,521000
219.3,577000
90.1,425000
228.5,495000
249.9,340000
169.1,499950
322.4,1218000
313.1,720000
157.9,249000
124.5,206135
185.8,300000
356.7,612000
361.4,1102030
113.3,230000
211.8,850000
257.3,355000
234.1,442000
284.3,399000
222.0,360000
122.6,390000
269.4,413000
65.0,190000
205.3,432900
202.5,621138
193.2,270000
194.2,610000
159.8,500000
228.5,715000
136.6,264000
153.3,550000
157.0,337000
90.1,170000
188.6,405000
236.0,775000
145.9,425000
239.7,713000
194.2,555000
302.9,810000
355.8,1250000
197.9,819000
157.0,409900
165.4,935000
150.5,657500
391.1,900000
276.9,932800
138.4,391000
196.0,420000
609.7,1300000
140.3,415000
170.0,350000
114.3,375000
202.5,860000
206.2,495000
160.7,250000
184.9,365000
143.1,503000
102.2,150000
152.4,450000
240.6,355000
134.7,245000
109.6,265900
169.1,299000
219.3,957500
104.1,343000
152.9,307500
391.1,937500
230.4,610000
147.7,720000
197.9,610000
153.3,434500
287.1,602500
202.5,607010
167.2,610000
345.6,828500
102.2,199990
142.1,294000
279.6,789500
325.2,797000
288.0,539950
185.8,284950
212.7,776500
223.0,525000
171.9,303000
341.9,722080
98.5,140000
98.5,235000
149.6,440000
216.5,605000
112.4,380000
142.1,352000
210.9,420000
240.6,1175000
171.9,1375000
139.4,300000
440.4,1150000
158.9,453500
178.4,443500
106.8,332000
215.5,655000
131.9,475000
144.0,372500
271.3,1050000
150.5,500000
213.7,900000
99.4,327500
166.3,390000
140.3,451101
124.5,455000
311.2,650000
232.3,895000
218.3,800000
236.9,703770
122.6,249950
118.0,512000
323.3,780000
262.0,336000
196.0,285000
102.2,229900
178.4,667500
175.6,378000
235.0,454000
236.9,537500
144.0,425000
163.5,290000
118.0,349500
116.1,370000
150.5,549500
66.0,245000
99.4,208000
215.5,248000
506.3,610000
155.1,550000
279.6,750000
124.5,192000
73.4,169317
315.9,1198000
142.1,880000
86.4,210000
143.1,180500
184.9,540000
213.7,520000
113.3,177500
221.1,415000
187.7,495000
175.6,325000
123.6,440000
138.4,411000
329.8,810000
189.5,561750
221.1,835100
165.4,450000
153.3,238000
140.3,299000
102.2,570000
203.5,340000
163.5,450000
167.2,272750
185.8,520000
92.0,284950
137.5,255000
111.5,231500
278.7,415000
325.5,330000
120.8,365000
123.6,425000
171.9,400000
208.1,335000
117.1,342000
260.1,490000
169.1,331500
160.7,960000
311.2,720500
313.1,830000
115.2,662990
217.4,220000
174.7,349950
168.2,550000
217.4,396000
262.0,635000
94.8,293000
194.2,339000
170.0,285000
276.9,775000
148.6,224000
412.5,2250000
111.5,165050
114.3,275000
272.2,445000
220.2,510000
282.4,1230000
149.6,390000
218.3,460000
185.8,700000
327.9,874150
206.2,470000
185.8,374000
112.4,510000
105.9,467000
226.7,576000
144.9,196440
298.2,825000
86.4,281000
165.6,326000
161.7,340000
342.8,440000
272.2,749000
114.3,340000
185.8,561000
141.2,270000
96.6,600000
104.1,219900
280.6,617000
169.1,469000
127.3,229000
290.8,1265000
152.4,365000
246.2,429000
264.8,550000
169.1,453000
109.6,187500
174.7,520500
118.9,300000
289.9,799000
229.5,338000
157.9,800000
109.6,360000
260.1,442500
120.8,700000
282.4,830000
151.4,360400
124.5,345000
170.0,300000
115.2,350000
232.3,368000
163.5,264000
247.1,435000
191.4,200000
236.0,620000
448.7,1679000
130.1,337000
397.6,1928000
207.2,544500
63.2,252000
217.4,445000
192.3,379500
177.4,189950
88.3,469000
270.3,600000
272.2,785000
242.5,372000
360.5,445000
308.4,508000
180.2,780000
233.2,541100
247.1,729000
158.9,397000
122.6,451555
89.2,300000
166.3,416000
88.3,490000
273.1,480000
86.4,368000
424.6,1038000
220.2,545000
318.7,850000
328.9,550000
208.1,600000
251.8,535000
247.1,599950
236.0,531000
205.3,530000
331.7,597326
320.5,805000
216.5,390000
157.0,487250
95.7,301000
237.8,1175000
181.2,299000
406.0,2350000
218.3,400000
293.6,467500
225.8,305000
124.5,210000
93.8,300000
164.4,327500
112.4,269000
309.4,975000
115.2,355000
116.1,712000
275.0,883000
78.0,190000
142.1,443000
348.4,920000
199.7,285000
144.9,901000
189.5,552500
79.9,256000
159.8,341000
194.2,279000
197.9,686000
120.8,225000
113.3,215500
224.8,950000
273.1,503000
242.5,780000
174.7,212000
216.5,580000
204.4,465000
159.8,206000
209.0,615000
152.4,519000
383.7,1135000
241.5,330000
178.4,240000
191.4,574000
530.5,930000
252.7,850000
138.4,415000
219.3,480000
180.2,300000
238.8,439000
107.8,450000
247.1,589000
117.1,477000
165.4,587500
295.4,1315000
314.0,1430000
249.9,700000
109.6,275000
154.2,367500
210.0,453250
177.4,607000
225.8,255000
120.8,501000
98.5,450000
204.4,360000
159.8,460000
219.3,753000
76.2,389950
95.7,469000
188.6,550000
250.8,565000
102.2,189650
336.3,1525000
124.5,260000
166.3,243000
355.8,1100000
146.8,249000
187.7,720000
309.4,905000
242.5,824500
242.5,762500
161.7,580000
170.9,380000
100.3,805000
115.2,520000
522.1,1569500
108.7,175000
163.5,353500
207.2,500000
141.2,386500
134.7,210000
148.6,439500
299.1,315000
170.0,339000
204.4,655000
201.6,740000
176.5,685000
275.0,550000
158.9,405000
243.4,765000
198.8,625000
195.1,207000
195.1,370000
135.6,475000
92.0,365000
203.5,411800
370.7,668000
217.4,618000
228.5,247500
193.2,345000
157.9,616300
123.6,348000
151.4,425000
271.3,850000
262.9,820000
296.4,832000
138.4,835000
151.4,350000
211.8,349000
279.6,1125000
147.7,320000
116.1,150000
158.9,340000
304.7,785500
312.3,410500
204.4,580000
77.1,345000
200.7,550000
239.7,449500
199.7,300000
326.1,915000
354.0,1575000
187.7,599000
197.0,755000
116.1,400000
91.0,133000
116.1,330000
102.2,330000
123.6,375000
237.8,485000
171.9,470000
259.2,1045000
154.2,548800
100.3,315000
281.5,590000
221.1,439950
209.0,325000
81.8,400000
257.3,685000
124.5,339950
154.2,315000
158.9,411753
150.5,577000
142.1,500000
133.8,210000
187.7,640000
173.7,460000
57.6,265000
536.4,740000
115.2,230000
175.6,315000
223.9,432000
142.1,467000
260.1,255000
135.6,316500
146.8,190000
134.7,490000
184.9,378000
415.3,598800
183.9,333800
271.3,690000
154.2,320000
296.4,1249000
144.9,335000
283.4,840000
281.5,608250
210.0,550000
117.1,240000
313.1,998000
138.4,275000
145.9,284200
417.1,1715000
380.0,2400000
385.5,930800
269.4,930000
132.9,215000
93.6,480000
137.5,483945
115.2,347000
127.3,232500
164.4,390000
200.7,550000
217.4,590000
89.2,420850
211.8,345000
183.0,429800
142.1,302000
166.3,800000
157.9,250000
247.1,605000
181.2,412000
124.5,252000
105.0,375000
181.2,725000
352.1,471750
187.7,490000
74.3,439000
164.4,355000
87.3,250000
210.0,780000
82.7,409000
79.9,420000
63.2,200000
197.9,830000
